city;country_id;street;zip
Dresden;81;Adlergasse;1067
Dresden;81;Alfred-Althus-Str.;1067
Dresden;81;Altmarkt;1067
Dresden;81;Am Bramschkontor;1067
Dresden;81;Am Queckbrunnen;1067
Dresden;81;Am Schießhaus;1067
Dresden;81;Am See;1067
Dresden;81;Am Zwingerteich;1067
Dresden;81;Ammonstr.;1067
Dresden;81;An der Frauenkirche;1067
Dresden;81;An der Herzogin Garten;1067
Dresden;81;An der Kreuzkirche;1067
Dresden;81;An der Mauer;1067
Dresden;81;Annenstr.;1067
Dresden;81;Antonsplatz;1067
Dresden;81;Augustusstr.;1067
Dresden;81;Behringstr.;1067
Dresden;81;Berliner Str.;1067
Dresden;81;Bernhard-von-Lindenau-Platz;1067
Dresden;81;Bräuergasse;1067
Dresden;81;Bremer Str.;1067
Dresden;81;Brühlsche Gasse;1067
Dresden;81;Brühlsche Terrasse;1067
Dresden;81;Brühlscher Garten;1067
Dresden;81;Devrientstr.;1067
Dresden;81;Dr.-Külz-Ring;1067
Dresden;81;Ehrlichstr.;1067
Dresden;81;Ermischstr.;1067
Dresden;81;Falkenstr.;1067
Dresden;81;Feigengasse;1067
Dresden;81;Frauenstr.;1067
Dresden;81;Freiberger Platz;1067
Dresden;81;Freiberger Str.;1067
Dresden;81;Friedrichstr.;1067
Dresden;81;Friesengasse;1067
Dresden;81;Galeriestr.;1067
Dresden;81;Georg-Treu-Platz;1067
Dresden;81;Gewandhausstr.;1067
Dresden;81;Grüne Str.;1067
Dresden;81;Güterbahnhofstr.;1067
Dresden;81;Hamburger Str.;1067
Dresden;81;Hasenberg;1067
Dresden;81;Herbert-Wehner-Platz;1067
Dresden;81;Hertha-Lindner-Str.;1067
Dresden;81;Urnenfeldweg;1109
Dresden;81;Valeria-Kratina-Weg;1109
Dresden;81;Vogelstellerweg;1109
Dresden;81;Volkersdorfer Sandweg;1109
Dresden;81;Volkersdorfer Weg;1109
Dresden;81;Vorerlenweg;1109
Dresden;81;Waldhofstr.;1109
Dresden;81;Waldpark;1109
Dresden;81;Waldteichstr.;1109
Dresden;81;Warnemünder Str.;1109
Dresden;81;Wiesensteig;1109
Dresden;81;Wilhelm-Külz-Str.;1109
Dresden;81;Wilhelmine-Reichard-Ring;1109
Dresden;81;Bühlauer Str.;1328
Dresden;81;Chrysanthemenweg;1328
Dresden;81;Cunnersdorfer Str.;1328
Radebeul;81;Straken;1445
Radebeul;81;Straße der Jugend;1445
Radebeul;81;Straße des Friedens;1445
Radebeul;81;Südstr.;1445
Radebeul;81;Talkenbergweg;1445
Radebeul;81;Tännichtweg;1445
Radebeul;81;Terrassenstr.;1445
Radebeul;81;Thalheimstr.;1445
Radebeul;81;Thomas-Mann-Str.;1445
Berlin;81;Sonnenallee;12489
Berlin;81;Steinbachstr.;12489
Berlin;81;Stienitzseestr.;12489
Berlin;81;Süßer Grund;12489
Berlin;81;Thelenstr.;12489
Berlin;81;Thomas-Müntzer-Str.;12489
Berlin;81;Vimystr.;12489
Berlin;81;Vogelbeerstr.;12489
Berlin;81;Volmerstr.;12489
Berlin;81;Wagner-Regeny-Str.;12489
Berlin;81;Waldstr.;12489
Berlin;81;Walther-Nernst-Str.;12489
Berlin;81;Wassermannstr.;12489
Berlin;81;Weerthstr.;12489
Berlin;81;Wernerweg;12489
Berlin;81;Wilhelm-Hoff-Str.;12489
Berlin;81;Wilhelm-Ostwald-Str.;12489
Berlin;81;Willi-Schwabe-Str.;12489
Berlin;81;Wolfgang-Liebe-Str.;12489
